station_id,district,lat,lon
1,Darrang,25.709331,91.389203
2,Kokrajhar,24.701123,90.495438
3,Dibrugarh,26.059515,89.71828
4,Dhemaji,26.84742,90.251013
5,Tinsukia,27.232864,91.412768
6,Tinsukia,27.873995,92.080762
7,Tinsukia,25.915304,90.072442
8,Bongaigaon,24.753902,91.080043
9,Golaghat,25.193116,91.09306
10,Dhemaji,27.628157,92.70114
11,Tinsukia,25.811594,92.355067
12,Sonitpur,26.273635,92.302583
13,Morigaon,27.434772,91.46496
14,Lakhimpur,26.497379,91.646346
15,Sonitpur,27.977794,89.804202
16,Kamrup,27.412387,90.114797
17,Nalbari,24.879749,89.680878
18,Cachar,25.052481,90.450127
19,Jorhat,24.896604,91.752868
20,Dibrugarh,26.682589,89.881708
21,Morigaon,25.653361,90.742643
22,Dhubri,24.554278,91.739872
23,Jorhat,26.962392,89.641262
24,Dhubri,27.054697,90.351003
25,Sivasagar,24.691317,92.945617
26,Dibrugarh,25.19502,90.504112
27,Bongaigaon,24.749976,92.796315
28,Nagaon,26.126833,92.98892
29,Sonitpur,25.513725,91.817088
30,Darrang,24.771338,90.620077
31,Kamrup,26.735148,93.375427
32,Barpeta,25.048423,93.10772
33,Kokrajhar,26.183702,93.385252
34,Nagaon,24.546034,91.597223
35,Karimganj,25.279367,92.515615
36,Jorhat,26.57382,90.377457
37,Jorhat,25.965585,89.827611
38,Karimganj,27.025267,90.389252
39,Morigaon,25.96043,90.974631
40,Nagaon,27.15057,91.856127
41,Cachar,26.049725,92.1242
42,Lakhimpur,27.465987,91.35084
43,Sivasagar,26.761435,91.241265
44,Morigaon,25.459271,93.308672
45,Barpeta,25.428811,93.204305
46,Karimganj,26.11445,92.802373
47,Cachar,26.043355,91.446558
48,Cachar,26.711949,91.625953
49,Golaghat,26.888907,91.70028
50,Dhemaji,26.805352,93.391781
