timestamp,district,temp_c,humidity_pct,pressure_hpa,wind_speed_kmph,wind_dir,cloud_cover_pct
2020-01-01 00:00:00,Barpeta,33.9,42.58,983.4,39.6,NE,36.95
2020-01-01 00:00:00,Bongaigaon,31.3,53.75,1006.1,16.2,NW,23.69
2020-01-01 00:00:00,Cachar,20.1,93.91,987.2,25.1,SW,40.77
2020-01-01 00:00:00,Darrang,33.5,86.88,1001.2,4.9,S,94.45
2020-01-01 00:00:00,Dhemaji,32.8,58.71,992.0,26.3,SE,69.37
2020-01-01 00:00:00,Dhubri,23.4,45.37,1005.1,15.1,W,80.08
2020-01-01 00:00:00,Dibrugarh,17.2,49.77,1004.3,7.7,W,97.57
2020-01-01 00:00:00,Goalpara,16.7,56.0,995.7,9.2,SE,72.49
2020-01-01 00:00:00,Golaghat,22.0,46.82,989.6,5.2,SW,8.55
2020-01-01 00:00:00,Jorhat,19.3,57.29,1001.1,39.2,N,30.16
2020-01-01 00:00:00,Kamrup,27.4,51.8,982.7,40.5,N,90.06
2020-01-01 00:00:00,Karimganj,21.5,63.97,1002.8,49.7,SW,95.78
2020-01-01 00:00:00,Kokrajhar,21.8,94.92,1004.9,45.3,S,38.63
2020-01-01 00:00:00,Lakhimpur,27.0,71.78,1002.1,14.6,N,68.62
2020-01-01 00:00:00,Morigaon,26.4,80.5,997.1,30.1,SE,12.18
2020-01-01 00:00:00,Nagaon,24.4,45.65,983.1,29.8,NW,12.26
2020-01-01 00:00:00,Nalbari,29.0,55.04,1001.7,29.5,N,76.25
2020-01-01 00:00:00,Sivasagar,17.7,64.31,985.2,40.7,E,86.72
2020-01-01 00:00:00,Sonitpur,34.8,74.04,984.3,17.5,N,44.43
2020-01-01 00:00:00,Tinsukia,24.7,76.83,1000.9,38.8,NW,74.88
2020-01-02 00:00:00,Barpeta,29.8,72.72,988.4,43.1,SE,32.77
2020-01-02 00:00:00,Bongaigaon,19.2,72.58,996.4,19.0,SW,95.27
2020-01-02 00:00:00,Cachar,19.4,55.79,1003.6,29.6,SE,93.43
2020-01-02 00:00:00,Darrang,24.7,73.47,994.8,20.6,SW,81.04
2020-01-02 00:00:00,Dhemaji,25.5,56.67,1004.9,49.8,N,59.18
2020-01-02 00:00:00,Dhubri,16.7,86.51,995.8,48.5,E,53.15
2020-01-02 00:00:00,Dibrugarh,20.0,65.66,993.7,11.9,S,93.08
2020-01-02 00:00:00,Goalpara,28.8,93.65,999.2,27.8,NE,44.08
2020-01-02 00:00:00,Golaghat,17.8,53.47,1001.6,20.3,S,74.4
2020-01-02 00:00:00,Jorhat,30.2,76.91,981.5,48.7,NE,51.06
2020-01-02 00:00:00,Kamrup,27.0,82.93,994.0,18.9,SE,86.14
2020-01-02 00:00:00,Karimganj,32.5,42.56,984.9,20.1,SW,43.87
2020-01-02 00:00:00,Kokrajhar,16.8,78.98,987.3,21.9,NW,76.22
2020-01-02 00:00:00,Lakhimpur,22.9,58.07,983.8,15.7,S,93.37
2020-01-02 00:00:00,Morigaon,33.9,84.03,981.9,33.7,E,75.32
2020-01-02 00:00:00,Nagaon,18.5,66.57,1008.5,6.9,SE,15.83
2020-01-02 00:00:00,Nalbari,15.5,56.85,987.7,3.2,W,0.03
2020-01-02 00:00:00,Sivasagar,23.5,42.52,983.9,14.4,SW,34.25
2020-01-02 00:00:00,Sonitpur,23.6,45.93,993.1,20.0,S,56.18
2020-01-02 00:00:00,Tinsukia,24.2,58.57,983.5,35.7,SE,0.72
2020-01-03 00:00:00,Barpeta,34.5,84.28,989.5,2.3,SE,59.57
2020-01-03 00:00:00,Bongaigaon,25.0,87.76,1004.0,44.3,SE,17.4
2020-01-03 00:00:00,Cachar,31.6,76.23,995.4,18.1,SE,78.02
2020-01-03 00:00:00,Darrang,28.1,65.91,988.1,48.9,W,17.0
2020-01-03 00:00:00,Dhemaji,21.2,62.6,1003.1,8.0,NW,70.05
2020-01-03 00:00:00,Dhubri,18.4,76.77,996.2,9.1,SE,30.39
2020-01-03 00:00:00,Dibrugarh,24.1,51.17,996.1,24.0,S,54.57
2020-01-03 00:00:00,Goalpara,23.6,71.71,989.4,36.6,N,79.09
2020-01-03 00:00:00,Golaghat,20.8,59.04,991.8,23.2,W,6.1
2020-01-03 00:00:00,Jorhat,16.2,72.49,1009.1,11.6,NW,64.76
2020-01-03 00:00:00,Kamrup,23.8,78.42,982.3,17.7,W,72.94
2020-01-03 00:00:00,Karimganj,16.5,51.34,989.5,6.5,NE,11.66
2020-01-03 00:00:00,Kokrajhar,32.0,41.38,1008.8,36.6,SW,37.44
2020-01-03 00:00:00,Lakhimpur,34.6,44.69,983.8,50.0,W,15.03
2020-01-03 00:00:00,Morigaon,16.3,55.63,999.8,40.8,N,55.78
2020-01-03 00:00:00,Nagaon,20.0,58.39,1004.9,47.0,NE,81.69
2020-01-03 00:00:00,Nalbari,34.0,41.42,991.8,24.1,NE,85.85
2020-01-03 00:00:00,Sivasagar,20.0,53.24,1006.4,35.3,W,79.25
2020-01-03 00:00:00,Sonitpur,20.2,74.31,996.7,35.2,NW,20.22
2020-01-03 00:00:00,Tinsukia,34.0,77.66,989.7,16.0,E,13.28
2020-01-04 00:00:00,Barpeta,26.9,83.4,983.6,24.0,NW,69.99
2020-01-04 00:00:00,Bongaigaon,22.5,58.84,985.2,13.0,NW,75.87
2020-01-04 00:00:00,Cachar,29.1,52.24,999.5,30.6,N,16.02
2020-01-04 00:00:00,Darrang,15.7,46.71,1007.3,27.7,S,43.22
2020-01-04 00:00:00,Dhemaji,30.6,84.8,994.2,5.6,SW,5.01
2020-01-04 00:00:00,Dhubri,27.9,79.17,1003.2,46.9,S,21.85
2020-01-04 00:00:00,Dibrugarh,21.5,65.67,992.6,13.4,N,71.78
2020-01-04 00:00:00,Goalpara,34.3,60.49,991.2,34.3,NW,69.93
2020-01-04 00:00:00,Golaghat,22.4,45.64,994.5,46.2,N,66.93
2020-01-04 00:00:00,Jorhat,24.0,73.95,1000.2,9.1,SE,47.44
2020-01-04 00:00:00,Kamrup,32.5,44.15,1008.8,40.3,NE,82.41
2020-01-04 00:00:00,Karimganj,22.0,51.82,980.3,40.8,SW,3.5
